Date,Open,High,Low,Close,Adjusted_close,Volume
2021-08-09,235.79,236.07,234.03,234.68,229.5573,2093100
2021-08-10,235.1,235.1,233.24,233.45,228.3541,2027500
2021-08-11,234.19,235.94,233.75,235.55,230.4083,1969100
2021-08-12,236,236.76,235.05,236.67,231.5038,1490800
2021-08-13,236.79,239,236.27,238.82,233.6069,1699700
2021-08-16,239,241.05,238.56,240.97,235.7099,2175300
2021-08-17,240.35,240.84,238.21,240.28,235.035,1652000
2021-08-18,239.44,239.76,237.78,238.08,232.883,2215500
2021-08-19,236.68,238.12,236.07,237.23,232.0516,1455400
2021-08-20,236.96,239.39,236.32,238.49,233.2841,1989700
2021-08-23,239.46,240.07,237.99,239.66,234.4285,2086900
2021-08-24,240.39,240.39,238.32,238.43,233.2254,1687700
2021-08-25,237.93,239.6,237.84,238.83,233.6167,1668000
2021-08-26,238.79,238.92,235.92,236.95,231.7777,2008000
2021-08-27,237.43,238.37,236.37,237.48,232.2961,1784000
2021-08-30,237.34,237.76,235.86,236.59,231.4256,2245600
2021-08-31,235.75,237.73,234.67,237.46,233.55,2938100
2021-09-01,237.88,239.04,237.21,238.15,234.2286,2197100
2021-09-02,239.2,239.95,238.38,239.87,235.9203,2140200
2021-09-03,238.39,239.65,237.51,238.82,234.8876,1339300
2021-09-07,238.61,238.61,235.95,236.19,232.3009,1820000
2021-09-08,236.8,239.46,236,238.62,234.6909,2718400
2021-09-09,238.42,241.43,237.77,238.61,234.6811,2992200
2021-09-10,240.32,241.32,239.04,239.18,235.2417,2035200
2021-09-13,240.83,241.8,239.84,241.21,237.2382,2294800
2021-09-14,241.73,242.25,239.5,241.13,237.1596,2013800
2021-09-15,240.47,241.27,238.18,240.98,237.012,2507200
2021-09-16,240.29,243.59,239.95,243.21,239.2053,3410700
2021-09-17,243.84,244.63,241.88,242.49,238.4972,4756600
2021-09-20,239.88,241.96,236.64,239.09,235.1532,4549900
2021-09-21,240,242.35,239.4,240.5,236.5399,2008300
2021-09-22,241.8,245.86,241.47,243.13,239.1266,3361900
2021-09-23,243.74,245.95,243.53,244.78,240.7495,2941700
2021-09-24,246.64,247.38,245.24,246.42,242.3625,2508800
2021-09-27,246,248.9,245.28,248.11,244.0246,2463300
2021-09-28,247.29,247.71,242.91,243.77,239.7561,3007500
2021-09-29,244.38,245.71,243.15,244.28,240.2577,1719000
2021-09-30,244.77,245.42,240.82,241.11,237.1399,3136800
2021-10-01,243.07,244.69,240.25,242.93,238.9299,2076000
2021-10-04,242.06,244.81,241.86,243.08,239.0775,2236500
2021-10-05,243.97,246.88,243.01,245.22,241.1822,2463100
2021-10-06,244.56,247.16,243.02,247.1,243.0313,2107900
2021-10-07,248,249.95,247.68,248.32,244.2312,2423900
2021-10-08,249.25,249.63,247.11,247.7,243.6214,1687500
2021-10-11,248.1,249.14,246.45,246.58,242.5198,1504000
2021-10-12,247.73,248.6,244.18,244.52,240.4937,2346700
2021-10-13,243.27,243.87,239.9,242.65,238.6545,3214300
2021-10-14,242.88,245.42,242.04,244.55,240.5232,2512000
2021-10-15,245.24,246.38,241.99,242.25,238.2611,2564700
2021-10-18,242.42,243.45,241.13,242.26,238.271,2484900
2021-10-19,243.22,243.93,241.53,242.77,238.7726,2071600
2021-10-20,240.4,242.65,239.29,239.72,235.7728,3040200
2021-10-21,240.17,241.91,239.31,241.4,237.4251,2702400
2021-10-22,240.71,242.24,238,238.44,234.5139,3283700
2021-10-25,239.23,239.25,236.5,237.34,233.432,3178400
2021-10-26,237.47,238.4,236.14,236.42,232.5271,3066400
2021-10-27,241.05,244.62,238.85,242.73,238.7332,5249400
2021-10-28,243.4,246.08,242.53,245.5,241.4576,3448500
2021-10-29,243,246.09,242.47,245.55,241.5068,4329400
2021-11-01,245.8,251.69,245.34,250.58,246.454,4456200
2021-11-02,251.76,252.22,248.16,249.24,245.136,2624300
2021-11-03,247.99,251.13,247.91,250.4,246.2769,2399000
2021-11-04,251.12,254.18,250.2,253.46,249.2865,2711000
2021-11-05,254.69,257.53,254.62,254.71,250.516,3224300
2021-11-08,254.78,255.65,251.93,253.1,248.9325,2471300
2021-11-09,252.91,253.69,250.45,252.65,248.4899,2258900
2021-11-10,250.81,253.72,250.81,253.13,248.962,1794300
2021-11-11,253.33,253.33,249.26,250.16,246.0409,1640500
2021-11-12,250.15,251.01,248.89,250.67,246.5425,1625200
2021-11-15,250.67,253.76,250.67,252.94,248.7751,1709200
2021-11-16,253.5,254.19,252.38,252.46,248.303,2195500
2021-11-17,252.41,253.34,250.52,252.69,248.5292,1412000
2021-11-18,253.16,253.49,251.08,253.48,249.3062,1751200
2021-11-19,253.29,253.32,250.23,251.95,247.8014,2743100
2021-11-22,252.67,255.45,252.21,253.48,249.3062,2438700
2021-11-23,254.81,255.79,253.05,255.65,251.4405,2770000
2021-11-24,254.5,257.79,254.05,257.11,252.8764,2642800
